emotion_label	emotion_clause	cause_clause
['DISGUST']	['214', '223']	['224', '235']
['TRUST']	['111', '133']	['100', '110']
['JOY']	['88', '96']	['109', '176']
['OTHER', 'JOY']	['62', '86', '62', '86']	['15', '49', '88', '93']
['OTHER', 'SURPRISE']	['103', '110', '196', '206']	['85', '102', '207', '216']
['JOY']	['102', '107']	['19', '98']
['OTHER']	['116', '142']	['11', '37']
['TRUST']	['58', '86']	['25', '36']
['FEAR']	['103', '110']	['150', '177']
['JOY', 'OTHER', 'TRUST']	['199', '204', '199', '204', '379', '386']	['137', '167', '229', '263', '353', '359']
['ANTICIPATION']	['25', '31']	['48', '62']
['ANTICIPATION']	['69', '76']	['81', '99']
['ANGER']	['391', '419']	['441', '443']
['SURPRISE']	['141', '149']	['125', '127']
['OTHER']	['156', '162']	['163', '174']
['TRUST']	['172', '213']	['165', '167']
['TRUST', 'SADNESS', 'ANGER', 'SURPRISE']	['195', '198', '414', '422', '334', '345', '319', '325']	['214', '233', '214', '233', '214', '233', '214', '233']
['FEAR', 'FEAR']	['338', '351', '356', '366']	['378', '472', '378', '472']
['FEAR']	['78', '92']	['49', '72']
['TRUST']	['355', '364']	['341', '404']
['DISGUST']	['238', '243']	['247', '255']
['JOY', 'TRUST']	['143', '151', '206', '211']	['157', '164', '212', '275']
['DISGUST', 'DISGUST']	['58', '68', '106', '116']	['69', '88', '117', '137']
['TRUST']	['139', '143']	['85', '128']
['SURPRISE']	['50', '74']	['105', '123']
['TRUST']	['88', '107']	['27', '29']
['TRUST']	['77', '85']	['147', '152']
['DISGUST']	['131', '139']	['15', '24']
['SURPRISE']	['517', '528']	['433', '489']
['OTHER', 'DISGUST', 'OTHER']	['166', '180', '195', '199', '195', '199']	['107', '136', '139', '143', '200', '204']
['OTHER']	['152', '189']	['118', '132']
['SADNESS']	['76', '83']	['104', '154']
['OTHER', 'SADNESS']	['210', '219', '210', '219']	['193', '206', '245', '254']
['DISGUST']	['37', '43']	['44', '57']
['SURPRISE']	['144', '149']	['153', '183']
['OTHER']	['142', '152']	['138', '141']
['ANGER']	['137', '162']	['179', '191']
['DISGUST']	['155', '159']	['190', '200']
['JOY']	['578', '582']	['535', '564']
['TRUST']	['77', '81']	['137', '146']
['TRUST']	['155', '162']	['163', '247']
['SADNESS']	['72', '78']	['55', '68']
['SADNESS']	['63', '72']	['85', '109']
['FEAR', 'OTHER']	['304', '311', '304', '311']	['171', '175', '312', '375']
['DISGUST']	['315', '321']	['252', '287']
['SURPRISE']	['66', '75']	['76', '96']
['SURPRISE']	['78', '86']	['58', '101']
['SURPRISE']	['75', '84']	['88', '112']
['TRUST']	['140', '144']	['145', '185']
['SADNESS', 'ANGER']	['67', '74', '91', '102']	['35', '50', '106', '111']
['SADNESS']	['130', '138']	['48', '99']
['TRUST']	['201', '207']	['208', '211']
['JOY']	['67', '74']	['75', '124']
['DISGUST']	['465', '470']	['471', '509']
['ANGER']	['122', '127']	['133', '135']
['ANGER']	['164', '170']	['122', '138']
['JOY']	['138', '144']	['94', '105']
['ANTICIPATION']	['117', '125']	['87', '104']
['OTHER']	['110', '130']	['137', '161']
['OTHER']	['58', '61']	['191', '214']
['ANTICIPATION']	['63', '69']	['70', '98']
['ANGER']	['193', '198']	['145', '167']
['OTHER', 'JOY', 'ANTICIPATION', 'OTHER']	['82', '86', '82', '86', '103', '113', '103', '113']	['132', '260', '90', '93', '90', '93', '132', '260']
['ANGER']	['27', '35']	['36', '46']
['ANGER']	['267', '274']	['214', '245']
['OTHER', 'ANGER', 'ANTICIPATION', 'ANGER']	['96', '103', '73', '79', '96', '103', '96', '103']	['0', '29', '0', '29', '80', '83', '80', '83']
['JOY']	['191', '199']	['91', '115']
['OTHER', 'OTHER']	['379', '390', '529', '553']	['370', '404', '561', '582']
['SADNESS', 'TRUST']	['120', '126', '146', '156']	['160', '170', '160', '170']
['SURPRISE']	['187', '195']	['199', '252']
['JOY', 'ANTICIPATION']	['105', '132', '93', '100']	['90', '92', '136', '153']
['OTHER']	['76', '80']	['57', '61']
['OTHER']	['87', '97']	['98', '130']
['JOY']	['43', '56']	['16', '19']
['SURPRISE', 'TRUST']	['265', '268', '304', '308']	['327', '351', '312', '316']
['JOY', 'OTHER']	['112', '116', '86', '90']	['84', '85', '107', '116']
['OTHER']	['265', '269']	['230', '236']
['ANGER']	['215', '219']	['184', '204']
['SURPRISE']	['370', '378']	['414', '439']
['ANTICIPATION', 'OTHER']	['169', '176', '169', '176']	['177', '200', '177', '200']
['FEAR', 'FEAR']	['286', '298', '268', '280']	['223', '262', '223', '262']
['SADNESS']	['51', '133']	['1', '48']
['ANTICIPATION']	['75', '79']	['80', '95']
['SURPRISE', 'FEAR']	['37', '43', '44', '49']	['51', '76', '51', '76']
['JOY']	['170', '175']	['142', '155']
['ANTICIPATION']	['105', '114']	['94', '104']
['FEAR']	['269', '277']	['281', '297']
['ANGER']	['27', '34']	['53', '66']
['TRUST', 'OTHER']	['178', '182', '178', '182']	['122', '157', '186', '212']
['DISGUST']	['257', '265']	['236', '256']
['SADNESS']	['196', '201']	['160', '178']
['ANTICIPATION', 'JOY', 'JOY', 'JOY']	['296', '303', '311', '336', '397', '400', '374', '378']	['355', '382', '355', '382', '351', '354', '351', '354']
['TRUST']	['304', '309']	['310', '321']
['JOY', 'JOY']	['113', '121', '156', '176']	['140', '153', '140', '153']
['OTHER']	['147', '154']	['67', '92']
['OTHER', 'SADNESS']	['342', '346', '342', '346']	['373', '421', '349', '371']
['ANTICIPATION']	['395', '403']	['320', '377']
['SADNESS']	['152', '155']	['134', '142']
['SURPRISE', 'FEAR']	['84', '92', '175', '191']	['198', '217', '198', '217']
['FEAR']	['104', '131']	['0', '98']
['OTHER']	['88', '97']	['184', '244']
['JOY', 'DISGUST']	['370', '376', '499', '508']	['317', '328', '449', '483']
['SURPRISE']	['61', '73']	['77', '104']
['ANGER']	['64', '72']	['76', '86']
['FEAR']	['94', '100']	['101', '136']
['DISGUST']	['390', '412']	['363', '365']
['FEAR']	['134', '144']	['127', '133']
['DISGUST']	['242', '248']	['160', '231']
['OTHER']	['85', '95']	['69', '73']
['FEAR']	['23', '30']	['31', '93']
['JOY', 'SURPRISE']	['50', '97', '50', '71']	['34', '38', '34', '38']
['JOY']	['46', '67']	['82', '102']
['OTHER', 'OTHER']	['231', '237', '200', '205']	['134', '183', '134', '183']
['TRUST']	['111', '115']	['116', '131']
['OTHER', 'FEAR']	['343', '362', '343', '362']	['280', '314', '368', '416']
['TRUST']	['175', '191']	['68', '83']
['JOY']	['367', '377']	['345', '357']
['JOY']	['178', '186']	['88', '120']
['JOY']	['97', '122']	['1', '5']
['JOY']	['105', '111']	['129', '142']
['ANTICIPATION']	['120', '127']	['131', '164']
['SURPRISE']	['232', '241']	['259', '304']
['SURPRISE']	['34', '49']	['51', '99']
['JOY']	['179', '183']	['104', '109']
['SURPRISE']	['308', '316']	['299', '351']
['ANGER']	['29', '37']	['8', '14']
['TRUST']	['13', '18']	['19', '53']
['FEAR', 'SURPRISE', 'SURPRISE']	['261', '269', '187', '193', '149', '155']	['132', '142', '132', '142', '132', '142']
['TRUST']	['86', '91']	['92', '95']
['ANGER']	['138', '154']	['133', '137']
['ANGER']	['192', '204']	['236', '247']
['OTHER']	['405', '411']	['226', '284']
['OTHER', 'SADNESS']	['167', '174', '167', '174']	['196', '206', '179', '182']
['FEAR']	['107', '115']	['87', '106']
['FEAR']	['172', '176']	['177', '209']
['TRUST', 'JOY']	['199', '210', '409', '417']	['271', '281', '421', '482']
['ANTICIPATION']	['175', '184']	['0', '97']
['OTHER', 'ANTICIPATION']	['182', '189', '235', '243']	['248', '264', '248', '264']
['JOY']	['125', '135']	['108', '111']
['SADNESS']	['275', '285']	['220', '261']
['SADNESS']	['132', '136']	['166', '200']
['ANTICIPATION']	['222', '229']	['230', '240']
['SADNESS']	['131', '138']	['146', '178']
['JOY']	['190', '200']	['213', '231']
['TRUST']	['165', '174']	['180', '252']
['ANTICIPATION']	['248', '257']	['266', '273']
['FEAR']	['280', '289']	['290', '293']
['TRUST']	['154', '160']	['164', '189']
['SADNESS', 'OTHER', 'OTHER']	['226', '240', '141', '147', '226', '240']	['72', '118', '151', '169', '192', '213']
['SADNESS']	['102', '108']	['203', '228']
['SADNESS', 'OTHER']	['289', '311', '289', '311']	['201', '253', '318', '377']
['JOY']	['156', '160']	['161', '188']
['ANTICIPATION', 'TRUST']	['305', '311', '275', '283']	['231', '250', '231', '250']
['JOY']	['136', '140']	['155', '160']
['OTHER']	['44', '52']	['56', '68']
['SADNESS', 'OTHER', 'JOY']	['105', '111', '135', '144', '160', '169']	['117', '172', '145', '159', '145', '159']
['TRUST']	['326', '334']	['340', '364']
['FEAR']	['41', '47']	['51', '92']
['SADNESS']	['364', '374']	['383', '415']
['SURPRISE']	['162', '171']	['177', '203']
['JOY']	['95', '101']	['181', '186']
['OTHER']	['151', '155']	['156', '166']
['SURPRISE']	['90', '99']	['101', '115']
['OTHER']	['134', '145']	['130', '133']
['TRUST', 'ANTICIPATION']	['35', '39', '11', '16']	['4', '10', '30', '31']
['TRUST']	['119', '123']	['85', '92']
['TRUST']	['284', '289']	['290', '299']
